DATE,shift start time,shift end time,first sunrise,first sunset,second_sunrise,Darkness (minutes),% of Shift
2022-05-16,07:30:00,15:30:00,09:45:23,19:15:08,,135.4,28.2
2022-05-16,15:30:00,23:30:00,09:45:23,19:15:08,,254.9,53.1
2022-05-16,23:30:00,07:30:00,09:46:21,19:14:16,2022-05-17 09:46:21,480,100
2022-05-17,07:30:00,15:30:00,09:46:21,19:14:16,,136.4,28.4
2022-05-17,15:30:00,23:30:00,09:46:21,19:14:16,,255.7,53.3
2022-05-17,23:30:00,07:30:00,09:47:19,19:13:24,2022-05-18 09:47:19,480,100
2022-05-18,07:30:00,15:30:00,09:47:19,19:13:24,,137.3,28.6
2022-05-18,15:30:00,23:30:00,09:47:19,19:13:24,,256.6,53.5
2022-05-18,23:30:00,07:30:00,09:48:16,19:12:35,2022-05-19 09:48:16,480,100
2022-05-19,07:30:00,15:30:00,09:48:16,19:12:35,,138.3,28.8
2022-05-19,15:30:00,23:30:00,09:48:16,19:12:35,,257.4,53.6
2022-05-19,23:30:00,07:30:00,09:49:12,19:11:47,2022-05-20 09:49:12,480,100
2022-05-20,07:30:00,15:30:00,09:49:12,19:11:47,,139.2,29.0
2022-05-20,15:30:00,23:30:00,09:49:12,19:11:47,,258.2,53.8
2022-05-20,23:30:00,07:30:00,09:50:07,19:11:01,2022-05-21 09:50:07,480,100
2022-05-21,07:30:00,15:30:00,09:50:07,19:11:01,,140.1,29.2
2022-05-21,15:30:00,23:30:00,09:50:07,19:11:01,,259.0,54.0
2022-05-21,23:30:00,07:30:00,09:51:01,19:10:16,2022-05-22 09:51:01,480,100
2022-05-22,07:30:00,15:30:00,09:51:01,19:10:16,,141.0,29.4
2022-05-22,15:30:00,23:30:00,09:51:01,19:10:16,,259.7,54.1
2022-05-22,23:30:00,07:30:00,09:51:55,19:09:34,2022-05-23 09:51:55,480,100
2022-05-23,07:30:00,15:30:00,09:51:55,19:09:34,,141.9,29.6
2022-05-23,15:30:00,23:30:00,09:51:55,19:09:34,,260.4,54.3
2022-05-23,23:30:00,07:30:00,09:52:48,19:08:53,2022-05-24 09:52:48,480,100
2022-05-24,07:30:00,15:30:00,09:52:48,19:08:53,,142.8,29.8
